"","BirdID","Cohort","BroodRef","TSRatio","BroodName","NestboxRef","SocialDadID","SocialDadCertain","SocialdadIsGenetic","SocialMumID","SocialMumCertain","SocialMumIsGenetic","Notes","Cohort_dad","Cohort_mum","age_dad","age_mum","mean_social_dad","mean_social_mum","deltaSocialDad","deltaSocialMum","Plate","BloodAge","DNAAge","CaptureYear","offspring_age"
"80",356,2002,237,0.98618992,"B026",299,24,TRUE,FALSE,51,TRUE,FALSE,NA,"2001",NA,1,NA,2.29545454545455,2.2258064516129,-1.29545454545455,NA,"MEM_Adults_plate34_210515_data.csvresultstotal.csv",1,11,2003,1
"81",356,2002,237,0.98618992,"B026",299,24,TRUE,FALSE,51,TRUE,FALSE,NA,"2001",NA,1,NA,2.29545454545455,2.2258064516129,-1.29545454545455,NA,"MEM_Aduts_reruns2_080615_2_data.csvresultstotal.csv",1,11,2003,1
"83",363,2002,238,0.874191032,"B027",320,4477,TRUE,FALSE,4447,TRUE,FALSE,NA,"2000","1999",2,3,2.29545454545455,2.2258064516129,-0.295454545454545,0.774193548387097,"MEM_Adults_plate45_290515_data.csvresultstotal.csv",12,0,2003,1
"84",370,2002,240,0.989665133,"B029",165,110,TRUE,FALSE,4178,TRUE,FALSE,"4 dead chicks found in this nest after x-fostering","2001",NA,1,NA,2.29545454545455,2.2258064516129,-1.29545454545455,NA,"MEM_Adults_plate38bis_030615_data.csvresultstotal.csv",1,11,2003,1
"85",371,2002,240,0.777506625,"B029",165,110,TRUE,FALSE,4178,TRUE,FALSE,"4 dead chicks found in this nest after x-fostering","2001",NA,1,NA,2.29545454545455,2.2258064516129,-1.29545454545455,NA,"MEM_Adults_plate47_030615_data.csvresultstotal.csv",1,11,2003,1
"87",393,2002,245,1.910375995,"B034",3,4264,TRUE,FALSE,NA,FALSE,FALSE,NA,"2000",NA,2,NA,2.29545454545455,2.2258064516129,-0.295454545454545,NA,"MEM_Adults_plate36_220515_data.csvresultstotal.csv",1,11,2003,1
"93",416,2002,250,0.727997134,"B039",272,4326,TRUE,FALSE,4217,TRUE,FALSE,NA,"2000","2000",2,2,2.29545454545455,2.2258064516129,-0.295454545454545,-0.225806451612903,"MEM_Adults_plate42_270515_data.csvresultstotal.csv",12,0,2003,1
"94",416,2002,250,0.727997134,"B039",272,4326,TRUE,FALSE,4217,TRUE,FALSE,NA,"2000","2000",2,2,2.29545454545455,2.2258064516129,-0.295454545454545,-0.225806451612903,"MEM_Aduts_reruns1_040615_data.csvresultstotal.csv",1,11,2003,1
"97",417,2002,250,0.684245488,"B039",272,4326,TRUE,FALSE,4217,TRUE,FALSE,NA,"2000","2000",2,2,2.29545454545455,2.2258064516129,-0.295454545454545,-0.225806451612903,"MEM_Adults_plate34_210515_data.csvresultstotal.csv",12,0,2003,1
"99",417,2002,250,0.684245488,"B039",272,4326,TRUE,FALSE,4217,TRUE,FALSE,NA,"2000","2000",2,2,2.29545454545455,2.2258064516129,-0.295454545454545,-0.225806451612903,"MEM_Adults_plate42_270515_data.csvresultstotal.csv",1,11,2003,1
"104",419,2002,250,0.892914435,"B039",272,4326,TRUE,FALSE,4217,TRUE,FALSE,NA,"2000","2000",2,2,2.29545454545455,2.2258064516129,-0.295454545454545,-0.225806451612903,"MEM_Adults_plate37_220515_data.csvresultstotal.csv",12,0,2003,1
"107",421,2002,251,0.829511259,"B040",270,4153,TRUE,FALSE,34,TRUE,FALSE,NA,"2000",NA,2,NA,2.29545454545455,2.2258064516129,-0.295454545454545,NA,"MEM_Adults_plate46_010615_data.csvresultstotal.csv",12,0,2003,1
"110",422,2002,251,0.790921821,"B040",270,4153,TRUE,FALSE,34,TRUE,FALSE,NA,"2000",NA,2,NA,2.29545454545455,2.2258064516129,-0.295454545454545,NA,"MEM_Adults_plate46_010615_data.csvresultstotal.csv",1,11,2003,1
